tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VEC;CG;30072021;30072021;EUR;100772107;CAJAS REGALO LA VIDA ES BELLA 07/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1473;0;;CAJAS REGALO LA VIDA ES BELLA - E73;10077072021;;;; 
 2;;;;;;;;;D;;;;;2014;0;;CAJAS REGALO LA VIDA ES BELLA - K14;10077072021;;;; 
 2;;;;;;;;;D;;;;;2138;0;;CAJAS REGALO LA VIDA ES BELLA - L38;10077072021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 07;100772107;;;; 
 1;VEC;CG;30072021;30072021;EUR;100772107;CAJAS REGALO PLAN B 07/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1228;0;;CAJAS REGALO PLAN B - C28;10077072021;;;; 
 2;;;;;;;;;D;;;;;1473;0;;CAJAS REGALO PLAN B - E73;10077072021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO PLAN B- mes 07;100772107;;;; 
 1;VEC;CG;30072021;30072021;EUR;100772107;CAJAS REGALOS SMARTBOX 07/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1228;0;;CAJAS REGALOS SMARTBOX - C28;10077072021;;;; 
 2;;;;;;;;;D;;;;;1473;0;;CAJAS REGALOS SMARTBOX - E73;10077072021;;;; 
 2;;;;;;;;;D;;;;;1482;0;;CAJAS REGALOS SMARTBOX - E82;10077072021;;;; 
 2;;;;;;;;;D;;;;;2014;0;;CAJAS REGALOS SMARTBOX - K14;10077072021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALOS SMARTBOX- mes 07;100772107;;;; 
 1;VEC;CG;30072021;30072021;EUR;100772107;FOLLETOS ECUADOR 07/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1480;0;;FOLLETOS ECUADOR - E80;10077072021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total FOLLETOS ECUADOR- mes 07;100772107;;;; 
 1;VEC;CG;30072021;30072021;EUR;100772107;PEPEPHONE 07/21;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;1075;0;;PEPEPHONE - A75;10077072021;;;; 
 2;;;;;;;;;D;;;;;1258;0;;PEPEPHONE - C58;10077072021;;;; 
 2;;;;;;;;;D;;;;;1346;0;;PEPEPHONE - D46;10077072021;;;; 
 2;;;;;;;;;H;;;;;;0;;Total PEPEPHONE- mes 07;100772107;;;; 
 
