tipreg;sociedad;tipo docum;fecha doc;fecha cont.;moneda;referencia;texto cabecera;libre1;clave contab.;CUENTA;IND. CME;SOC.  GL;DIVISION;CECO;IMPORTE;ASIGNACION;TEXTO POS.;XREF1;XREF2;XREF3;FECH. BASE VENCIM.; 
 1;VHA;CG;30102020;30102020;EUR;100772010;CAJAS REGALO LA VIDA ES BELLA 10/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;2779;0;;CAJAS REGALO LA VIDA ES BELLA - T79;10077102020;;;; 
 2;;;;;;;;;D;;;;;2879;0;;CAJAS REGALO LA VIDA ES BELLA - V79;10077102020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO LA VIDA ES BELLA- mes 10;100772010;;;; 
 1;VHA;CG;30102020;30102020;EUR;100772010;CAJAS REGALO PLAN B 10/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;59;0;;CAJAS REGALO PLAN B - 059;10077102020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total CAJAS REGALO PLAN B- mes 10;100772010;;;; 
 1;VHA;CG;30102020;30102020;EUR;100772010;FOLLETOS HALCON 10/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;3288;0;;FOLLETOS HALCON - Q88;10077102020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total FOLLETOS HALCON- mes 10;100772010;;;; 
 1;VHA;CG;30102020;30102020;EUR;100772010;PEPEPHONE 10/20;DISTRI;;;;;;;;;;;;;; 
 2;;;;;;;;;D;;;;;42;0;;PEPEPHONE - 042;10077102020;;;; 
 2;;;;;;;;;D;;;;;106;0;;PEPEPHONE - 106;10077102020;;;; 
 2;;;;;;;;;D;;;;;154;0;;PEPEPHONE - 154;10077102020;;;; 
 2;;;;;;;;;D;;;;;190;0;;PEPEPHONE - 190;10077102020;;;; 
 2;;;;;;;;;D;;;;;212;0;;PEPEPHONE - 212;10077102020;;;; 
 2;;;;;;;;;D;;;;;217;0;;PEPEPHONE - 217;10077102020;;;; 
 2;;;;;;;;;D;;;;;232;0;;PEPEPHONE - 232;10077102020;;;; 
 2;;;;;;;;;D;;;;;274;0;;PEPEPHONE - 274;10077102020;;;; 
 2;;;;;;;;;D;;;;;302;0;;PEPEPHONE - 302;10077102020;;;; 
 2;;;;;;;;;D;;;;;578;0;;PEPEPHONE - 578;10077102020;;;; 
 2;;;;;;;;;D;;;;;619;0;;PEPEPHONE - 619;10077102020;;;; 
 2;;;;;;;;;D;;;;;646;0;;PEPEPHONE - 646;10077102020;;;; 
 2;;;;;;;;;D;;;;;693;0;;PEPEPHONE - 693;10077102020;;;; 
 2;;;;;;;;;D;;;;;822;0;;PEPEPHONE - 822;10077102020;;;; 
 2;;;;;;;;;D;;;;;1996;0;;PEPEPHONE - J96;10077102020;;;; 
 2;;;;;;;;;D;;;;;3224;0;;PEPEPHONE - Q24;10077102020;;;; 
 2;;;;;;;;;D;;;;;3232;0;;PEPEPHONE - Q32;10077102020;;;; 
 2;;;;;;;;;D;;;;;3234;0;;PEPEPHONE - Q34;10077102020;;;; 
 2;;;;;;;;;D;;;;;3264;0;;PEPEPHONE - Q64;10077102020;;;; 
 2;;;;;;;;;D;;;;;3265;0;;PEPEPHONE - Q65;10077102020;;;; 
 2;;;;;;;;;D;;;;;3280;0;;PEPEPHONE - Q80;10077102020;;;; 
 2;;;;;;;;;D;;;;;3288;0;;PEPEPHONE - Q88;10077102020;;;; 
 2;;;;;;;;;D;;;;;3289;0;;PEPEPHONE - Q89;10077102020;;;; 
 2;;;;;;;;;D;;;;;2501;0;;PEPEPHONE - R01;10077102020;;;; 
 2;;;;;;;;;D;;;;;2512;0;;PEPEPHONE - R12;10077102020;;;; 
 2;;;;;;;;;D;;;;;2524;0;;PEPEPHONE - R24;10077102020;;;; 
 2;;;;;;;;;D;;;;;2546;0;;PEPEPHONE - R46;10077102020;;;; 
 2;;;;;;;;;D;;;;;2564;0;;PEPEPHONE - R64;10077102020;;;; 
 2;;;;;;;;;D;;;;;2585;0;;PEPEPHONE - R85;10077102020;;;; 
 2;;;;;;;;;D;;;;;2635;0;;PEPEPHONE - S35;10077102020;;;; 
 2;;;;;;;;;D;;;;;2694;0;;PEPEPHONE - S94;10077102020;;;; 
 2;;;;;;;;;D;;;;;2738;0;;PEPEPHONE - T38;10077102020;;;; 
 2;;;;;;;;;D;;;;;2739;0;;PEPEPHONE - T39;10077102020;;;; 
 2;;;;;;;;;D;;;;;2768;0;;PEPEPHONE - T68;10077102020;;;; 
 2;;;;;;;;;D;;;;;2935;0;;PEPEPHONE - X35;10077102020;;;; 
 2;;;;;;;;;D;;;;;2942;0;;PEPEPHONE - X42;10077102020;;;; 
 2;;;;;;;;;H;;;;;;0;;Total PEPEPHONE- mes 10;100772010;;;; 
 
